#Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
10000,IMPOSTO SOBRE A RENDA DE PERSOAS FISICAS,2317599.78,0,2317599.78,2341133.48
11200,IMPOSTO SOBRE INMOBLES DE NATUREZA RUSTICA,775000,0,775000,791754.56
11300,IMPOSTO SOBRE BENS INMOBLES DE NATUREZA URBANA,25750000,0,25750000,26728096.5
11400,IMPOSTO SOBRE BENS INMOBLES DE CARACTERISTICAS ESPECIAIS,423000,0,423000,438350.61
11500,IMPOSTO SOBRE VEHICULOS TRACCION MECANICA,5270000,0,5270000,5566753.97
11600,IMPOSTO SOBRE O INCREMENTO DO VALOR DOS TERREOS,1500000,0,1500000,2249712.42
13000,IMPOSTO SOBRE ACTIVIDADES ECONOMICAS EMPRESARIAIS,3225000,0,3225000,2746087.82
13001,IMPOSTO SOBRE ACTIVIDADES PROFESIONAIS E ARTISTICAS,23000,0,23000,24568.97
21000,IVE ENGADIDO,1292533.42,0,1292533.42,1198580.6
22000,IMPOSTO ESPECIAL SOBRE O ALCOHOL,19131.45,0,19131.45,12348.78
22001,IMPOSTO ESPECIAL SOBRE A CERVEZA,6166.1,0,6166.1,4288.28
22003,IMPOSTO ESPECIAL SOBRE O TABACO,233580.4,0,233580.4,148895.76
22004,IMPOSTO ESPECIAL SOBRE HIDROCARBUROS,285319.3,0,285319.3,160936.38
22006,IMPOSTO ESPECIAL SOBRE PRODUCTOS INTERMEDIOS,540.48,0,540.48,288.19
29000,"IMPOSTO SOBRE CONSTRUCCIÓNS, INSTALACIÓNS E OBRAS",2858454.81,0,2858454.81,2557358.74
30200,RECOLLIDA DE LIXOS,6100000,0,6100000,5247734.79
30300,INGRESOS DA XESTION DE RESIDUOS,300000,0,300000,322772.87
30900,EXTINCION DE INCENDIOS E SALVAMENTO,337000,0,337000,337937.36
30904,CEMITERIOS,20000,0,20000,22994.7
32100,LICENCIAS URBANISTICAS,4373068.52,0,4373068.52,4844394.42
32101,LICENCIAS APERTURA ESTABLECEMENTOS,160000,0,160000,218458.72
32500,EXPEDICION DE DOCUMENTOS,140000,0,140000,123326.66
32600,TAXA POR RETIRADA VEHÍCULOS. GRÚA,1,0,1,0
32900,LICENCIAS AUTOTAXIS E VEHICULOS DE ALUGUER,10000,0,10000,24516.2
32901,PREMIO COBRANZA.DEPUTACION PROVINCIAL,20000,0,20000,21238.75
32904,MATRIMONIOS,9000,0,9000,10718.5
33000,TAXA DE ESTACIONAMENTO DE VEHÍCULOS,1,0,1,0
33100,OCUPACION VIA PUBLICA CON VADOS,300000,0,300000,152096.7
33200,"OCUPACION DO SOLO,SUBSOLO E SAINTES",1440000,0,1440000,1496221.13
33300,APROVEITAMENTO ESPECIAL TELEFONIA MOVIL,0,0,0,0
33500,OCUPACION VIA PUBLICA CON MESAS E CADEIRAS,210000,0,210000,175589.98
33600,VENDA AMBULANTE,65000,0,65000,58072.21
33800,INGRESOS DE TELEFONICA,380000,0,380000,312695.9
33900,OCUPACION VIA PUBLICA CON VALOS E ANDAMIOS,160000,0,160000,106189.35
33903,OUTRAS TASAS. CONCESIONS DE USO PUBLICO MUNICIPAL,116000,0,116000,141541.7
34100,AXUDA A DOMICILIO,30000,0,30000,55263.23
34300,INSTALACIONS DEPORTIVAS,5000,0,5000,1621.5
34400,INGRESOS DE TAQUILLAS,1000,4211,5211,5211
34901,PUBLICACIÓNS E ACTIVIDADES,80000,8725,88725,148799.02
