#Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
10000,IMPOSTO SOBRE A RENDA DE PERSOAS FISICAS,2271470,0,2271470,2271474.12
11200,IMPOSTO SOBRE INMOBLES DE NATUREZA RUSTICA,730000,0,730000,775081.64
11300,IMPOSTO SOBRE BENS INMOBLES DE NATUREZA URBANA,22700000,0,22700000,23926437.37
11400,IMPOSTO SOBRE BENS INMOBLES DE CARACTERISTICAS ESPECIAIS,450000,0,450000,424600.72
11500,IMPOSTO SOBRE VEHICULOS TRACCION MECANICA,5600000,0,5600000,5528944.36
11600,IMPOSTO SOBRE O INCREMENTO DO VALOR DOS TERREOS,1750000,118346.86,1868346.86,2417201.42
13000,IMPOSTO SOBRE ACTIVIDADES ECONOMICAS EMPRESARIAIS,2800000,0,2800000,3387617.65
13001,IMPOSTO SOBRE ACTIVIDADES PROFESIONAIS E ARTISTICAS,25000,0,25000,28919.53
21000,IVE ENGADIDO,1116600,0,1116600,1160076.84
22000,IMPOSTO ESPECIAL SOBRE O ALCOHOL,19270,0,19270,19204.32
22001,IMPOSTO ESPECIAL SOBRE A CERVEZA,5850,0,5850,5829.72
22003,IMPOSTO ESPECIAL SOBRE O TABACO,256600,0,256600,256603.32
22004,IMPOSTO ESPECIAL SOBRE HIDROCARBUROS,295480,0,295480,294484.08
22006,IMPOSTO ESPECIAL SOBRE PRODUCTOS INTERMEDIOS,530,0,530,525.6
29000,"IMPOSTO SOBRE CONSTRUCCIÓNS, INSTALACIÓNS E OBRAS",4000000,0,4000000,2241443.06
30200,RECOLLIDA DE LIXOS,6784000,0,6784000,6266739.95
30300,INGRESOS DA XESTION DE RESIDUOS,300000,0,300000,317195.54
30900,EXTINCION DE INCENDIOS E SALVAMENTO,100000,0,100000,186151.24
30904,CEMITERIOS,20000,0,20000,24484.5
32100,LICENCIAS URBANISTICAS,3300000,0,3300000,4310382.84
32101,LICENCIAS APERTURA ESTABLECEMENTOS,900000,0,900000,305210.64
32500,EXPEDICION DE DOCUMENTOS,210000,0,210000,164597.73
32900,LICENCIAS AUTOTAXIS E VEHICULOS DE ALUGUER,4500,0,4500,14436.5
32901,PREMIO COBRANZA.DEPUTACION PROVINCIAL,17900,0,17900,28507.1
32904,MATRIMONIOS,11000,0,11000,9613.5
33100,OCUPACION VIA PUBLICA CON VADOS,150000,0,150000,151474.89
33200,"OCUPACION DO SOLO,SUBSOLO E SAINTES",1200000,0,1200000,1545463.16
33300,APROVEITAMENTO ESPECIAL TELEFONIA MOVIL,350000,0,350000,0
33500,OCUPACION VIA PUBLICA CON MESAS E CADEIRAS,130000,0,130000,176202.78
33600,VENDA AMBULANTE,70000,0,70000,68645.8
33800,INGRESOS DE TELEFONICA,392000,0,392000,386875.81
33900,OCUPACION VIA PUBLICA CON VALOS E ANDAMIOS,170000,0,170000,166633.54
33903,OUTRAS TASAS. CONCESIONS DE USO PUBLICO MUNICIPAL,115000,0,115000,116024.68
34100,AXUDA A DOMICILIO,30000,0,30000,55662.72
34300,INSTALACIONS DEPORTIVAS,5000,0,5000,2431.4
34400,INGRESOS DE TAQUILLAS,1000,1094,2094,2094
34901,PUBLICACIÓNS E ACTIVIDADES,100000,0,100000,143522.8
38900,REINTEGRO DE PRESUPOSTOS PECHADOS,13000,0,13000,229374.04
38901,REINTEGRO DOS ANUNCIOS POR CONTA DE PARTICULARES,6000,0,6000,5644.98
39100,MULTAS URBANISTICAS,30000,0,30000,0
39110,MULTAS TRIBUTARIAS,135000,0,135000,0
39120,SANCIONS DE TRAFICO,1450000,50176.11,1500176.11,2287193.88
39121,MULTAS DA ORA,150000,0,150000,0
39199,MULTAS,0,0,0,382635.4
39200,RECARGO POR DECLARACIÓN EXTEMPORÁNEA SIN REQUERIMI. PREVIO,0,0,0,0
39211,RECARGO DE PREMA,200000,0,200000,368240.31
39300,XUROS DE MORA,250000,0,250000,494486.35
39601,APORTACIONS PROXECTO COMPENSACION POLG.B SUNP6 SAN LAZARO,0,1415924.42,1415924.42,1415924.42
39610,COTAS DE URBANIZACION,2021652,12272644.49,14294296.49,14310299.14
39710,OTROS INGRESOS POR APROVECHAMIENTOS URBANÍSTICOS.,0,1262100,1262100,1262100
39900,OUTROS INGRESOS DERVIADOS DA XESTIÓN DE MULTAS,149000,0,149000,113617.83
39901,INGRESOS POR DANOS BENS MUNICIPAIS. SINIESTROS,80000,0,80000,114719.35
39902,ACTUACIONS URBANISTICAS A CARGO DE PARTICULARES. EXSUB,300000,0,300000,388357.89
39903,OUTROS INGRESOS DIVERSOS,0,46000,46000,31000.06
39904,SUBMINISTROS A EDIFICIOS PÚBLICOS,340000,0,340000,89584.15
39905,O.A.ACTUACIONS URBANISTICAS.DIF.ADX. E INDEMNIZACIÓNS,0,444100.99,444100.99,452219.43
39907,INCAUTACIÓN DE FIANZAS E PENALIDADES,0,0,0,0
39910,COSTAS,500,0,500,311.16
39990,INGRESOS DERIVADOS DE OBRIGAS CONTRACTUAIS,263876.61,0,263876.61,0
39991,OUTROS INGRESOS DIVERSOS,100000,0,100000,15371.06
39992,"PREMIO """"CIUDAD PATRIMONIO HUMANIDAD""""",30000,0,30000,30000
