#Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos,,,,
10000,IMPOSTO SOBRE A RENDA DE PERSOAS FISICAS,2970657.04,,,,,,,
11200,IMPOSTO SOBRE BENS INMOBLES DE NATUREZA RUSTICA,1240000,,,,,,,
11300,IMPTO SOBRE BENS INMOBLES NATUREZA URBANA,33200000,,,,,,,
11400,IMPOSTO SOBRE BENS INMOBLES DE CARACTERISTICAS ESPECIAIS,894000,,,,,,,
11500,IMPOSTO SOBRE VEHICULOS TRACCION MECANICA,4825000,,,,,,,
11600,IMPOSTO SOBRE O INCREMENTO DO VALOR DOS TERREOS,2800000,,,,,,,
13000,IMPOSTO SOBRE ACTIVIDADES ECONOMICAS EMPRESARIAIS,2850000,,,,,,,
13001,IMPOSTO SOBRE ACTIVIDADES PROFESIONAIS E ARTISTICAS,25000,,,,,,,
21000,IVE ENGADIDO,2022799.24,,,,,,,
22000,IMPOSTO ESPACIAL SOBRE O ALCOHOL,26816.68,,,,,,,
22001,IMPOSTO ESPECIAL SOBRE A CERVEXA.,10570,,,,,,,
22003,IMPOSTO ESPECIAL SOBRE O TABACO.,179240,,,,,,,
22004,IMPOSTO ESPECIAL SOBRE HIDROCARBUROS.,405928.28,,,,,,,
22006,IMPOSTO ESPECIAL SOBRE PRODUCTOS INTERMEDIOS.,890,,,,,,,
29000,"IMPOSTO SOBRE CONSTRUCCIONS, INSTALACIONS E OBRAS",1950000,,,,,,,
30200,RECOLLIDA DE LIXOS,7005611,,,,,,,
30300,INGRESOS DA XESTION DE RESIDUOS,387000,,,,,,,
30904,CEMITERIOS,25000,,,,,,,
32100,LICENCIAS URBANISTICAS,2800000,,,,,,,
32101,LICENCIAS APERTURA ESTABLECEMENTOS,150000,,,,,,,
32500,EXPEDICION DE DOCUMENTOS,140000,,,,,,,
32600,TAXA POR RETIRADA VEHÍCULOS. GRÚA,188912.52,,,,,,,
