#Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos,
10000,IMPOSTO SOBRE A RENDA DE PERSOAS FISICAS,2208956.41,0,2208956.41,2531260.22,
11200,IMPOSTO SOBRE BENS INMOBLES DE NATUREZA RUSTICA,1025000,0,1025000,992964,
11300,IMPTO SOBRE BENS INMOBLES NATUREZA URBANA,26400000,0,26400000,28858557.61,
11400,IMPOSTO SOBRE BENS INMOBLES DE CARACTERISTICAS ESPECIAIS,900000,0,900000,899159.1,
11500,IMPOSTO SOBRE VEHICULOS TRACCION MECANICA,4975000,0,4975000,5130953.86,
11600,IMPOSTO SOBRE O INCREMENTO DO VALOR DOS TERREOS,2100000,0,2100000,3042535.77,
13000,IMPOSTO SOBRE ACTIVIDADES ECONOMICAS EMPRESARIAIS,2900000,0,2900000,3134646.69,
13001,IMPOSTO SOBRE ACTIVIDADES PROFESIONAIS E ARTISTICAS,30000,0,30000,31874,
21000,IVE ENGADIDO,1388014.36,0,1388014.36,1625155.24,
22000,IMPOSTO ESPACIAL SOBRE O ALCOHOL,21476.68,0,21476.68,21545.88,
22001,IMPOSTO ESPECIAL SOBRE A CERVEXA.,7140,0,7140,8032.88,
22003,IMPOSTO ESPECIAL SOBRE O TABACO.,223579.74,0,223579.74,236549.52,
22004,IMPOSTO ESPECIAL SOBRE HIDROCARBUROS.,315688.28,0,315688.28,358120.87,
22006,IMPOSTO ESPECIAL SOBRE PRODUCTOS INTERMEDIOS.,520,0,520,695.04,
29000,"IMPOSTO SOBRE CONSTRUCCIONS, INSTALACIONS E OBRAS",1450000,0,1450000,1318709.33,
30200,RECOLLIDA DE LIXOS,6300000,0,6300000,6368914.16,
30300,INGRESOS DA XESTION DE RESIDUOS,300000,0,300000,324685.33,
30900,EXTINCION DE INCENDIOS E SALVAMENTO,40000,0,40000,62463.96,
30904,CEMITERIOS,20000,0,20000,26933.3,
32100,LICENCIAS URBANISTICAS,2098746.4,0,2098746.4,2124292.08,
32101,LICENCIAS APERTURA ESTABLECEMENTOS,170000,0,170000,155079.43,
32500,EXPEDICION DE DOCUMENTOS,110000,0,110000,143367.7,
32900,LICENCIAS AUTOTAXIS E VEHICULOS DE ALUGUER,10000,0,10000,16301.8,
