#Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
10000,IMPOSTO SOBRE A RENDA DE PERSOAS FISICAS,2150420,0,2150420,
11200,IMPOSTO SOBRE BENS INMOBLES DE NATUREZA RUSTICA,1040000,0,1040000,
11300,IMPTO SOBRE BENS INMOBLES NATUREZA URBANA,27000000,0,27000000,
11400,IMPOSTO SOBRE BENS INMOBLES DE CARACTERISTICAS ESPECIAIS,974249.49,0,974249.49,
11500,IMPOSTO SOBRE VEHICULOS TRACCION MECANICA,5075000,0,5075000,
11600,IMPOSTO SOBRE O INCREMENTO DO VALOR DOS TERREOS,1300000,0,1300000,
13000,IMPOSTO SOBRE ACTIVIDADES ECONOMICAS EMPRESARIAIS,2800000,0,2800000,
13001,IMPOSTO SOBRE ACTIVIDADES PROFESIONAIS E ARTISTICAS,30000,0,30000,
21000,IVE ENGADIDO,1641630,0,1641630,
22000,IMPOSTO SOBRE O ALCOHOL E BEBIDAS DERIVADAS.,20090,0,20090,
22001,IMPOSTO SOBRE A CERVEXA.,6880,0,6880,
22003,IMPOSTO SOBRE AS LABORES DO TABACO.,212600,0,212600,
22004,IMPOSTO SOBRE HIDROCARBUROS.,325910,0,325910,
22006,IMPUESTO SOBRE PRODUCTOS INTERMEDIOS.,500,0,500,
29000,"IMPOSTO SOBRE CONSTRUCCIONS, INSTALACIONS E OBRAS",1750000,0,1750000,
30200,RECOLLIDA DE LIXOS,6200000,0,6200000,
30300,INGRESOS DA XESTION DE RESIDUOS,325000,0,325000,
30900,EXTINCION DE INCENDIOS E SALVAMENTO,50000,0,50000,
30904,CEMITERIOS,15000,0,15000,
32100,LICENCIAS URBANISTICAS,2700000,0,2700000,
32101,LICENCIAS APERTURA ESTABLECEMENTOS,120000,0,120000,
32500,EXPEDICION DE DOCUMENTOS,110000,0,110000,
32900,LICENCIAS AUTOTAXIS E VEHICULOS DE ALUGUER,25000,0,25000,
32901,PREMIO COBRANZA.DEPUTACION PROVINCIAL,20771.62,0,20771.62,
32904,MATRIMONIOS,9000,0,9000,
33100,TAXA POR ENTRADA DE VEHÍCULOS,200000,0,200000,
33200,TAXA UTILIZACIÓN POR EMPRESAS SUBMINSITRADORAS,1675000,0,1675000,
33500,TAXA POR OCUPACIÓN VÍA PCA CON MESAS E CADEIRAS,180000,0,180000,
33600,VENDA AMBULANTE,58000,0,58000,
33800,"OCUPACION DO SOLO,SUBSOLO E SAINTES",268356.4,0,268356.4,
33900,OCUPACION VIA PUBLICA CON VALOS E ANDAMIOS,150000,0,150000,
33901,O.TASAS UTILIZACIÓN PRIVATIVA DO DOMINIO PUBLICO.MARQUESINAS,33129.86,0,33129.86,
33903,CONCESIÓN ADMINISTRATIVA BENS DOMINIO PUBLICO MUNICIPAL,155250,0,155250,
34100,AXUDA A DOMICILIO,62000,0,62000,
34300,INSTALACIONS DEPORTIVAS,2000,0,2000,
34400,INGRESOS DE TAQUILLAS,0,0,0,
34901,"PREZO PCO POR ACTIVIDADES, XORNADAS E SEMINARIOS",100000,0,100000,
35100,CONTRIBUCIÓNS ESPECIAIS.ESTABLEC.OU AMPLIAC.DE SERVIZOS,278608,0,278608,
38900,REINTEGRO DE PRESUPOSTOS PECHADOS,0,0,0,
38901,REINTEGRO DOS ANUNCIOS POR CONTA DE PARTICULARES,6000,0,6000,
39100,MULTAS POR INFRACCIONES URBANÍSTICAS.,0,0,0,
39110,MULTAS POR INFRACCIONES TRIBUTARIAS E ANÁLOGAS.,125000,0,125000,
39120,MULTAS POR INFRACCIONES DE LA ORDENANZA DE CIRCULACIÓN.,1600000,0,1600000,
39121,MULTAS DA ORA,0,0,0,
39190,MULTAS MEDIO AMBIENTE,100000,0,100000,
39191,MULTAS COERCITIVAS,60000,0,60000,
39192,SANCIÓNS PREVENCIÓN CONSUMO BEBIDAS ALCOHÓLICAS,30000,0,30000,
39200,RECARGO POR DECLARACIÓN EXTEMPORÁNEA SIN REQUERIMI. PREVIO,20000,0,20000,
39211,RECARGO DE PREMA,225000,0,225000,
39300,XUROS DE MORA,350000,0,350000,
39610,CUOTAS DE URBANIZACIÓN.,0,0,0,
39710,OTROS INGRESOS POR APROVECHAMIENTOS URBANÍSTICOS.,0,0,0,
39900,OUTROS INGRESOS DERIVADOS DA XESTIÓN DE MULTAS,40000,0,40000,
39901,INGRESOS POR DANOS BENS MUNICIPAIS.SINISTROS,50000,0,50000,
39902,EXECUCIONS SUBSIDIARIAS,608324.29,0,608324.29,
39903,OUTROS INGRESOS DIVERSOS,10000,28000,38000,
39904,SUMINISTROS A EDIFICIOS PÚBLICOS,100000,0,100000,
39906,OUTROS INGRESOS DE CONDENAS EN PROCEDEMENTOS XUDICIAIS,0,0,0,
39908,OTROS INGRESOS DIVERSOS. OBRAS URBANIZACIÓN A CARGO DE PARTI,435416.98,0,435416.98,
39910,COSTAS DA VIA DE CONSTRIXIMENTO,15000,0,15000,
39916,OTROS INGRESOS DIVERSOS.,0,0,0,
39991,OUTROS INGRESOS DIVERSOS,20000,0,20000,
42001,DE LA ADMINISTRACIÓN GENERAL DEL ESTADO.,87500,0,87500,
42010,FONDO COMPLEMENTARIO DE FINANCIACIÓN.,19806010,0,19806010,
42020,COMPENSACIÓN POR BENEFICIOS FISCALES.,0,0,0,
42021,COMPENSACIÓN IAE,2500000,0,2500000,
42090,OTRAS TRANSF CORRIENTES DE LA ADMÓN GENERAL DEL ESTADO.,0,0,0,
42091,SUBVENCIONS DO ESTADO PARA O PACTO LOCAL POLO EMPREGO (FSE),253194.14,43200,296394.14,
42092,SUBVENCIONS CORRENTES DO ESTADO. UMAD,38571,0,38571,
42098,SUBVENCIONS DO ESTADO. SUBVENCION DO TRANSPORTE,350000,0,350000,
45000,PARTICIPACIÓN EN TRIBUTOS DE LA COMUNIDAD AUTÓNOMA.,3656236.48,0,3656236.48,
45001,OUTRAS TRANSFERENCIAS INCONDICIONADAS.ESTATUTO CAPITALIDADE,2325000,0,2325000,
45020,TRANSFERENCIAS CCAA. SERVIZOS SOCIAIS,614464.77,0,614464.77,
45021,TRANSFERENCIAS CCAA. UMAD TRATAMENTO,532531.71,0,532531.71,
45022,TRANSFERENCIAS CCAA.UMAD PREVENCION,60000,0,60000,
45023,TRANSFERENCIAS  CCAA MULLER,52000,0,52000,
45024,TRANSFERENCIAS DA CCAA EN MATERIA SOCIAL. EMIGRACION,25000,0,25000,
45030,TRANS CTES EN CUMPL DE CONV SUS CON C.A EN MAT DE EDUCACIÓN,114542.4,0,114542.4,
45050,TRANSFERENCIAS CORRENTES.XUNTAS DE GALICIA,861502.46,400045.24,1261547.7,
45061,OUTRAS TRANSFERENCIAS CCAA. APORTACIONS VARIAS,0,0,0,
45063,OUTRAS TRANSFERENCIAS CORRENTES. SERVIZO COMEDOR ESCOLAR,0,0,0,
45100,TRANSFERENCIAS CORRENTES.ORGANISMO AUTONOMO,0,0,0,
45300,TRANSFERENCIA CORRENT. S A XESTIÓN XACOBEO MANTEMENTO CAMIÑO,0,0,0,
46100,TRANSFERENCIAS DEPUTACIÓN A CORUÑA,0,0,0,
46101,TRANSFERENCIAS DEPUTACIÓN,144000,0,144000,
46102,OUTRAS SUBVENCIONS  DA DEPUTACION,90000,0,90000,
46103,TRANSFERENCIAS CORRENTE. DEPUTACION CSC DO RURAIS.,140000,0,140000,
46104,TRANSFERENCIAS CORRENTES DEPUTACIÓN.,68550,0,68550,
46105,TRANSFERENCIAS CORRENTES DEPUTACIÓN. MULLER,30525,0,30525,
46106,TRANSFERENCIAS DEPUTACION DTC,55391.29,0,55391.29,
46700,SUBVENCIONS CORRENTES.CONSORCIO DA CIDADE DE SANTIAGO,240000,0,240000,
49000,SUBVENCIONS CORRENTES DO EXTERIOR.,0,2172844.2,2172844.2,
49001,TRANSFERENCIAS DO EXTERIOR.,0,0,0,
49100,SUBVENCIÓNS CORRENTES DO EXTERIOR.FONDOS FEDER.,279222.37,0,279222.37,
49700,OUTRAS TRANSFERENCIAS DA UNION EUROPEA.,28953.75,0,28953.75,
52000,XUROS DE DEPOSITOS,12000,0,12000,
52001,XUROS DE COLOCACION DE EXCEDENTES DA TESOURERIA,80000,0,80000,
54100,"ARRENDAMENTO INMOBLE RUA DO MEDIO,65.EMUVISSA",15079.2,0,15079.2,
55000,CONCESIONS E APROVEITAMENTOS ESPECIAIS,320000,0,320000,
55001,CANON CONTRATO CONCESIÓN SERVIZOS ORA E GRÚA,402160,0,402160,
55002,CANON NOVAS INSTALACIÓNS DEPORTIVAS,15000,0,15000,
55100,CONCESIÓNS CONTRAPRESTACIÓNS NON PERIÓDICAS,0,0,0,
60000,ENAXENACION DE INVERSIÓNS REAIS,0,0,0,
60302,PATRIMONIO PÚBLICO DEL SUELO.,1650229.09,0,1650229.09,
72000,TRANSFERENCIAS DE CAPITAL DO ESTADO,314833.84,37823.51,352657.35,
72001,"TRANSFERENCIAS DO ESTADO. Mº AGRICULTURA, ALIMENT. E MEDIO A",0,9432.7,9432.7,
72002,DE LA ADMINISTRACIÓN GENERAL DEL ESTADO.,61051,0,61051,
72200,TRANSFERENCIAS DE CAPITAL. DE FUNDACIONES ESTATALES.,189082.53,0,189082.53,
72390,"TR CAPIT DE OTRAS SOC MERC EST, ENT PÚB EMP Y OTROS ORG PÚB",68000,6000,74000,
75060,OTRAS TRANSF DE CAPITAL EN CUMP DE CONV SUSCRITOS CON LA C.A,0,86000,86000,
75080,OTRAS TRANSFERENCIAS DE CAPITAL DE LA ADMÓN GNRAL DE LA C.A,0,9000,9000,
75101,TRANSFERENCIAS DE CAPITAL.ORGANISMO AUTONOMO,248157.85,0,248157.85,
75102,TRANSF. DE CAPITAL. AXENCIAS DA CC.AA. AGADER,0,10008.14,10008.14,
75300,"DE SOC MERC,ENT PÚB EMPR Y OTROS ORGA PÚB DEPEN DE CC.AA",0,0,0,
76100,TRANSFERENCIAS DA DIPUTACIÓN PROVINCIAL,500000,1561902.93,2061902.93,
76102,SUBVENCION DA DEPUTACION.DEPORTES.CESPED ARTIFICIAL SANLAZAR,0,0,0,
76103,TRANSFERENCIA DIPUTACIÓN PROVINCIAL. SANEAMENTO EN ROCHIÑA,0,0,0,
76104,TRANSFERENCIAS DA DEPUTACIÓN PROVINCIAL,0,0,0,
76700,TRANSFERENCIAS CONSORCIO DA CIDADE DE SANTIAGO.,0,0,0,
77000,TRANSFERENCIAS DE CAPITAL. DE EMPRESAS PRIVADAS,3567080,0,3567080,
79100,OUTRAS TRANSFERENCIAS UNION EUROPEA.URBANA NORTE 2014,376060.3,537320.32,913380.62,
79101,OUTRAS TRANSFERENCIAS DA U.E. FEADER,1500000,0,1500000,
79400,DEL FONDO EUROPEO AGRÍCOLA DE DESARROLLO RURAL (FEADER).,0,58322.51,58322.51,
83000,REINTEGRO DE ANTICIPOS O PERSOAL,80000,0,80000,
87000,PARA GASTOS GENERALES.,0,1437878.37,1437878.37,
87010,PARA GASTOS CON FINANCIACIÓN AFECTADA.,0,9847844.14,9847844.14,
91301,PRÉSTAM RECIBIDOS A L/P DE ENTES DE FUERA DEL SECTOR PÚBLICO,0,4442654.16,4442654.16,
#,TOTALES,102611065.82,20688276.22,123299342.04,0
