#Eco.,Descripción,Prev Inic,Total Mod,Prev tot,DRN
10000,IMPOSTO SOBRE A RENDA DE PERSOAS FISICAS,2150420,0,2150420,2145507.83
11200,IMPOSTO SOBRE BENS INMOBLES DE NATUREZA RUSTICA,1040000,0,1040000,841746.37
11300,IMPTO SOBRE BENS INMOBLES NATUREZA URBANA,27000000,0,27000000,27981085.45
11400,IMPOSTO SOBRE BENS INMOBLES DE CARACTERISTICAS ESPECIAIS,974249.49,0,974249.49,881275.65
11500,IMPOSTO SOBRE VEHICULOS TRACCION MECANICA,5075000,0,5075000,4972462.3
11600,IMPOSTO SOBRE O INCREMENTO DO VALOR DOS TERREOS,1300000,0,1300000,2274341.06
13000,IMPOSTO SOBRE ACTIVIDADES ECONOMICAS EMPRESARIAIS,2800000,0,2800000,2783791.92
13001,IMPOSTO SOBRE ACTIVIDADES PROFESIONAIS E ARTISTICAS,30000,0,30000,31251.26
21000,IVE ENGADIDO,1641630,0,1641630,1605692.73
22000,IMPOSTO SOBRE O ALCOHOL E BEBIDAS DERIVADAS.,20090,0,20090,20751.5
22001,IMPOSTO SOBRE A CERVEXA.,6880,0,6880,7278.93
22003,IMPOSTO SOBRE AS LABORES DO TABACO.,212600,0,212600,212603.52
22004,IMPOSTO SOBRE HIDROCARBUROS.,325910,0,325910,376586
22006,IMPUESTO SOBRE PRODUCTOS INTERMEDIOS.,500,0,500,698.91
29000,"IMPOSTO SOBRE CONSTRUCCIONS, INSTALACIONS E OBRAS",1750000,0,1750000,1071914.22
30200,RECOLLIDA DE LIXOS,6200000,0,6200000,6328730.78
30300,INGRESOS DA XESTION DE RESIDUOS,325000,0,325000,330747.78
30900,EXTINCION DE INCENDIOS E SALVAMENTO,50000,0,50000,30501.04
30904,CEMITERIOS,15000,0,15000,20751.5
32100,LICENCIAS URBANISTICAS,2700000,0,2700000,1839109.35
32101,LICENCIAS APERTURA ESTABLECEMENTOS,120000,0,120000,183051.85
32500,EXPEDICION DE DOCUMENTOS,110000,0,110000,108683.81
32900,LICENCIAS AUTOTAXIS E VEHICULOS DE ALUGUER,25000,0,25000,4787
32901,PREMIO COBRANZA.DEPUTACION PROVINCIAL,20771.62,0,20771.62,17175.57
32904,MATRIMONIOS,9000,0,9000,10497.5
33100,TAXA POR ENTRADA DE VEHÍCULOS,200000,0,200000,179772.44
33200,TAXA UTILIZACIÓN POR EMPRESAS SUBMINSITRADORAS,1675000,0,1675000,2561040.23
33500,TAXA POR OCUPACIÓN VÍA PCA CON MESAS E CADEIRAS,180000,0,180000,191981.19
33600,VENDA AMBULANTE,58000,0,58000,41478.2
33800,"OCUPACION DO SOLO,SUBSOLO E SAINTES",268356.4,0,268356.4,223352.84
33900,OCUPACION VIA PUBLICA CON VALOS E ANDAMIOS,150000,0,150000,193980.54
33901,O.TASAS UTILIZACIÓN PRIVATIVA DO DOMINIO PUBLICO.MARQUESINAS,33129.86,0,33129.86,0
33903,CONCESIÓN ADMINISTRATIVA BENS DOMINIO PUBLICO MUNICIPAL,155250,0,155250,186332.57
34100,AXUDA A DOMICILIO,62000,0,62000,154308.18
34300,INSTALACIONS DEPORTIVAS,2000,0,2000,181.45
34400,INGRESOS DE TAQUILLAS,0,0,0,2899.85
34901,"PREZO PCO POR ACTIVIDADES, XORNADAS E SEMINARIOS",100000,0,100000,129910.17
35100,CONTRIBUCIÓNS ESPECIAIS.ESTABLEC.OU AMPLIAC.DE SERVIZOS,278608,0,278608,80001
38900,REINTEGRO DE PRESUPOSTOS PECHADOS,0,0,0,-25332.87
38901,REINTEGRO DOS ANUNCIOS POR CONTA DE PARTICULARES,6000,0,6000,5696.7
39100,MULTAS POR INFRACCIONES URBANÍSTICAS.,0,0,0,2900
39110,MULTAS POR INFRACCIONES TRIBUTARIAS E ANÁLOGAS.,125000,0,125000,119178.47
39120,MULTAS POR INFRACCIONES DE LA ORDENANZA DE CIRCULACIÓN.,1600000,0,1600000,2034346.49
39121,MULTAS DA ORA,0,0,0,0
39190,MULTAS MEDIO AMBIENTE,100000,0,100000,148049.73
39191,MULTAS COERCITIVAS,60000,0,60000,61300
39192,SANCIÓNS PREVENCIÓN CONSUMO BEBIDAS ALCOHÓLICAS,30000,0,30000,22590.15
