#Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
10000,IMPOSTO SOBRE A RENDA DE PERSOAS FISICAS,2182220,0,2182220,2197260.18
11200,IMPOSTO SOBRE INMOBLES DE NATUREZA RUSTICA,825000,0,825000,928101.95
11300,IMPOSTO SOBRE BENS INMOBLES DE NATUREZA URBANA,28550000,0,28550000,29681210.99
11400,IMPOSTO SOBRE BENS INMOBLES DE CARACTERISTICAS ESPECIAIS,440000,0,440000,438350.61
11500,IMPOSTO SOBRE VEHICULOS TRACCION MECANICA,5270000,0,5270000,5249309.27
11600,IMPOSTO SOBRE O INCREMENTO DO VALOR DOS TERREOS,1500000,0,1500000,1669433.36
13000,IMPOSTO SOBRE ACTIVIDADES ECONOMICAS EMPRESARIAIS,2750000,0,2750000,2728969.55
13001,IMPOSTO SOBRE ACTIVIDADES PROFESIONAIS E ARTISTICAS,23000,0,23000,34988.6
21000,IVE ENGADIDO,1380340,0,1380340,1546432.33
22000,IMPOSTO ESPECIAL SOBRE O ALCOHOL,19060,0,19060,19467.58
22001,IMPOSTO ESPECIAL SOBRE A CERVEZA,6310,0,6310,6782.07
22003,IMPOSTO ESPECIAL SOBRE O TABACO,236410,0,236410,236410.56
22004,IMPOSTO ESPECIAL SOBRE HIDROCARBUROS,263520,0,263520,266132.4
22006,IMPOSTO ESPECIAL SOBRE PRODUCTOS INTERMEDIOS,480,0,480,488.4
29000,"IMPOSTO SOBRE CONSTRUCCIÓNS, INSTALACIÓNS E OBRAS",2311111.11,0,2311111.11,820883.69
30200,RECOLLIDA DE LIXOS,6100000,0,6100000,6283538.9
30300,INGRESOS DA XESTION DE RESIDUOS,300000,0,300000,296286.38
30900,EXTINCION DE INCENDIOS E SALVAMENTO,100000,0,100000,54826.17
30904,CEMITERIOS,20000,0,20000,26214.2
32100,LICENCIAS URBANISTICAS,3738888.89,0,3738888.89,1745308.96
32101,LICENCIAS APERTURA ESTABLECEMENTOS,160000,0,160000,209346.89
32500,EXPEDICION DE DOCUMENTOS,140000,0,140000,108054.1
32600,TAXA POR RETIRADA VEHÍCULOS. GRÚA,1,0,1,0
32900,LICENCIAS AUTOTAXIS E VEHICULOS DE ALUGUER,15000,0,15000,23609.6
32901,PREMIO COBRANZA.DEPUTACION PROVINCIAL,20000,0,20000,23561.12
32904,MATRIMONIOS,10112.38,0,10112.38,7514
33000,TAXA DE ESTACIONAMENTO DE VEHÍCULOS,1,0,1,0
33100,OCUPACION VIA PUBLICA CON VADOS,250000,0,250000,186390.4
33200,"OCUPACION DO SOLO,SUBSOLO E SAINTES",1490000,0,1490000,1895395.02
33300,APROVEITAMENTO ESPECIAL TELEFONIA MOVIL,0,0,0,0
33500,OCUPACION VIA PUBLICA CON MESAS E CADEIRAS,180000,0,180000,162205.84
33600,VENDA AMBULANTE,65000,0,65000,30683.77
33800,INGRESOS DE TELEFONICA,192079.44,0,192079.44,271432.8
33900,OCUPACION VIA PUBLICA CON VALOS E ANDAMIOS,120000,0,120000,174993.77
33903,OUTRAS TASAS. CONCESIONS DE USO PUBLICO MUNICIPAL,116000,0,116000,124941.1
34100,AXUDA A DOMICILIO,40000,0,40000,59656.79
34300,INSTALACIONS DEPORTIVAS,5000,0,5000,1867.75
34400,INGRESOS DE TAQUILLAS,5000,0,5000,36
34901,PUBLICACIÓNS E ACTIVIDADES,105000,0,105000,121639.86
35100,CONTRIBUCIONS ESPECIAIS. ESTABLEC.O AMPLIAC.DE SERVIZOS,0,288440.95,288440.95,288440.95
38900,REINTEGRO DE PRESUPOSTOS PECHADOS,5000,0,5000,18878.58
38901,REINTEGRO DOS ANUNCIOS POR CONTA DE PARTICULARES,6000,0,6000,3352.2
38903,OTROS REINTEGROS DE OPERACIONES CORRIENTES.,0,0,0,0
39100,MULTAS URBANISTICAS,75000,0,75000,3519.1
39110,MULTAS TRIBUTARIAS,135000,0,135000,165596.06
39120,SANCIONS DE TRAFICO,1650000,0,1650000,1412252.48
39121,MULTAS DA ORA,0,0,0,0
39190,MULTAS MEDIO AMBENTE,35000,0,35000,26506.08
39191,MULTAS COERCITIVAS,63600,0,63600,94550
39192,SANCIÓNS PREVENCIÓN CONSUMO BEBIDAS ALCOHÓLICAS,600,0,600,21335.96
39199,OUTRAS MULTAS,0,0,0,0
39200,RECARGO POR DECLARACIÓN EXTEMPORÁNEA SIN REQUERIMI. PREVIO,30000,0,30000,23251.78
39211,RECARGO DE PREMA,250000,0,250000,905060.23
39300,XUROS DE MORA,350000,2541.67,352541.67,844808.93
