#Econ.,Denominación,Previsións Iniciais,Modificacións de previsións,Previsións Definitivas,Dereitos recoñecidos
10000,IMPOSTO SOBRE A RENDA DE PERSOAS FISICAS,2208956.41,,2208956.41,2213705.52
11200,IMPOSTO SOBRE BENS INMOBLES DE NATUREZA RUSTICA,1025000,,1025000,987745.07
11300,IMPTO SOBRE BENS INMOBLES NATUREZA URBANA,26400000,,26400000,26627300.08
11400,IMPOSTO SOBRE BENS INMOBLES DE CARACTERISTICAS ESPECIAIS,900000,,900000,899159.1
11500,IMPOSTO SOBRE VEHICULOS TRACCION MECANICA,4975000,,4975000,4910516.61
11600,IMPOSTO SOBRE O INCREMENTO DO VALOR DOS TERREOS,2100000,,2100000,2135239.11
13000,IMPOSTO SOBRE ACTIVIDADES ECONOMICAS EMPRESARIAIS,2900000,,2900000,2713352.53
13001,IMPOSTO SOBRE ACTIVIDADES PROFESIONAIS E ARTISTICAS,30000,,30000,30565.04
21000,IVE ENGADIDO,1388014.36,,1388014.36,1222603.34
22000,IMPOSTO ESPACIAL SOBRE O ALCOHOL,21476.68,,21476.68,15095.13
22001,IMPOSTO ESPECIAL SOBRE A CERVEXA.,7140,,7140,7493.71
22003,IMPOSTO ESPECIAL SOBRE O TABACO.,223579.74,,223579.74,128589.37
22004,IMPOSTO ESPECIAL SOBRE HIDROCARBUROS.,315688.28,,315688.28,320192.45
22006,IMPOSTO ESPECIAL SOBRE PRODUCTOS INTERMEDIOS.,520,,520,714.78
29000,"IMPOSTO SOBRE CONSTRUCCIONS, INSTALACIONS E OBRAS",1450000,,1450000,654798.02
30200,RECOLLIDA DE LIXOS,6300000,,6300000,4239633.92
30300,INGRESOS DA XESTION DE RESIDUOS,300000,,300000,190486.03
30900,EXTINCION DE INCENDIOS E SALVAMENTO,40000,,40000,51006.71
30904,CEMITERIOS,20000,,20000,21377.2
32100,LICENCIAS URBANISTICAS,2098746.4,,2098746.4,1298475.99
32101,LICENCIAS APERTURA ESTABLECEMENTOS,170000,,170000,108029.74
32500,EXPEDICION DE DOCUMENTOS,110000,,110000,97032.8
32900,LICENCIAS AUTOTAXIS E VEHICULOS DE ALUGUER,10000,,10000,16126.9
32901,PREMIO COBRANZA.DEPUTACION PROVINCIAL,20771.62,,20771.62,20580.58
32904,MATRIMONIOS,10000,,10000,8398
33100,OCUPACION VIA PÚBLICA CON VADOS,250000,,250000,191994.33
33200,"OCUPACIÓN DO SOLO,SUBSOLO E SAÍNTES",1500000,,1500000,431715.56
33500,OCUPACIÓN VÍA PÚBLICA CON MESAS E CADEIRAS,180000,,180000,184632.38
33600,VENDA AMBULANTE,49000,,49000,45091.18
33800,INGRESOS DE TELEFÓNICA,240000,,240000,146091.67
33900,OCUPACION VIA PUBLICA CON VALOS E ANDAMIOS,175000,,175000,205374.43
33901,O.TASAS UTILIZACIÓN PRIVATIVA DO DOMINIO PUBLICO.MARQUESINAS,227705.78,,227705.78,
33903,OUTRAS TASAS.CONCESIÓNS DE USO PÚBLICO MUNICIPAL,190000,,190000,109896.04
34100,AXUDA A DOMICILIO,117000,,117000,82868.37
34300,INSTALACIONS DEPORTIVAS,1500,,1500,14.7
