#Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
10000,IMPOSTO SOBRE A RENDA DE PERSOAS FISICAS,2644512.72,,,
11200,IMPOSTO SOBRE BENS INMOBLES DE NATUREZA RUSTICA,1190000,,,
11300,IMPTO SOBRE BENS INMOBLES NATUREZA URBANA,34300000,,,
11400,IMPOSTO SOBRE BENS INMOBLES DE CARACTERISTICAS ESPECIAIS,900000,,,
11500,IMPOSTO SOBRE VEHICULOS TRACCION MECANICA,4925000,,,
11600,IMPOSTO SOBRE O INCREMENTO DO VALOR DOS TERREOS,2200000,,,
13000,IMPOSTO SOBRE ACTIVIDADES ECONOMICAS EMPRESARIAIS,2950000,,,
13001,IMPOSTO SOBRE ACTIVIDADES PROFESIONAIS E ARTISTICAS,30000,,,
21000,IVE ENGADIDO,1757897.4,,,
22000,IMPOSTO ESPACIAL SOBRE O ALCOHOL,23923.56,,,
22001,IMPOSTO ESPECIAL SOBRE A CERVEXA.,7904.28,,,
22003,IMPOSTO ESPECIAL SOBRE O TABACO.,146681.16,,,
22004,IMPOSTO ESPECIAL SOBRE HIDROCARBUROS.,320541.72,,,
22006,IMPOSTO ESPECIAL SOBRE PRODUCTOS INTERMEDIOS.,847.56,,,
29000,"IMPOSTO SOBRE CONSTRUCCIONS, INSTALACIONS E OBRAS",1270000,,,
30200,RECOLLIDA DE LIXOS,6420000,,,
30300,INGRESOS DA XESTION DE RESIDUOS,300000,,,
30900,EXTINCION DE INCENDIOS E SALVAMENTO,62000,,,
30904,CEMITERIOS,25000,,,
32100,LICENCIAS URBANISTICAS,1800000,,,
32101,LICENCIAS APERTURA ESTABLECEMENTOS,170000,,,
32500,EXPEDICION DE DOCUMENTOS,140000,,,
32900,LICENCIAS AUTOTAXIS E VEHICULOS DE ALUGUER,15000,,,
32901,PREMIO COBRANZA.DEPUTACION PROVINCIAL,23000,,,
32904,MATRIMONIOS,10000,,,
33100,OCUPACION VIA PÚBLICA CON VADOS,214000,,,
33200,"OCUPACIÓN DO SOLO,SUBSOLO E SAÍNTES",1500000,,,
33500,OCUPACIÓN VÍA PÚBLICA CON MESAS E CADEIRAS,225000,,,
33600,VENDA AMBULANTE,46000,,,
33800,INGRESOS DE TELEFÓNICA,255000,,,
