#Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
10000,IMPOSTO SOBRE A RENDA DE PERSOAS FISICAS,2644512.72,0,2644512.72,2529536.74
11200,IMPOSTO SOBRE BENS INMOBLES DE NATUREZA RUSTICA,1190000,0,1190000,1991338.4
11300,IMPTO SOBRE BENS INMOBLES NATUREZA URBANA,34300000,0,34300000,36052067.36
11400,IMPOSTO SOBRE BENS INMOBLES DE CARACTERISTICAS ESPECIAIS,900000,0,900000,899159.1
11500,IMPOSTO SOBRE VEHICULOS TRACCION MECANICA,4925000,0,4925000,4919901.43
11600,IMPOSTO SOBRE O INCREMENTO DO VALOR DOS TERREOS,2200000,0,2200000,3592075.51
13000,IMPOSTO SOBRE ACTIVIDADES ECONOMICAS EMPRESARIAIS,2950000,0,2950000,2893510.25
13001,IMPOSTO SOBRE ACTIVIDADES PROFESIONAIS E ARTISTICAS,30000,0,30000,24661.39
21000,IVE ENGADIDO,1757897.4,0,1757897.4,1795982.49
22000,IMPOSTO ESPACIAL SOBRE O ALCOHOL,23923.56,0,23923.56,22706.87
22001,IMPOSTO ESPECIAL SOBRE A CERVEXA.,7904.28,0,7904.28,7887.14
22003,IMPOSTO ESPECIAL SOBRE O TABACO.,146681.16,0,146681.16,193072.6
22004,IMPOSTO ESPECIAL SOBRE HIDROCARBUROS.,320541.72,0,320541.72,304042.81
22006,IMPOSTO ESPECIAL SOBRE PRODUCTOS INTERMEDIOS.,847.56,0,847.56,827.35
29000,"IMPOSTO SOBRE CONSTRUCCIONS, INSTALACIONS E OBRAS",1270000,0,1270000,1478265.84
30200,RECOLLIDA DE LIXOS,6420000,0,6420000,6418094.75
30300,INGRESOS DA XESTION DE RESIDUOS,300000,0,300000,337906.99
30900,EXTINCION DE INCENDIOS E SALVAMENTO,62000,0,62000,13930.54
30904,CEMITERIOS,25000,0,25000,22163.16
32100,LICENCIAS URBANISTICAS,1800000,0,1800000,2532300.17
32101,LICENCIAS APERTURA ESTABLECEMENTOS,170000,0,170000,168148.24
32500,EXPEDICION DE DOCUMENTOS,140000,0,140000,169884.06
32600,TAXA POR RETIRADA VEHÍCULOS. GRÚA,0,373721.28,373721.28,106434.6
32900,LICENCIAS AUTOTAXIS E VEHICULOS DE ALUGUER,15000,0,15000,8794.8
32901,PREMIO COBRANZA.DEPUTACION PROVINCIAL,23000,0,23000,23763.34
32904,MATRIMONIOS,10000,0,10000,9282
33000,GRUA E ORA,0,1054392.02,1054392.02,639718.7
33100,OCUPACION VIA PÚBLICA CON VADOS,214000,0,214000,311280.84
33200,"OCUPACIÓN DO SOLO,SUBSOLO E SAÍNTES",1500000,0,1500000,1401037.31
33500,OCUPACIÓN VÍA PÚBLICA CON MESAS E CADEIRAS,225000,0,225000,219310.5
33600,VENDA AMBULANTE,46000,0,46000,32234.51
33800,INGRESOS DE TELEFÓNICA,255000,0,255000,358100.32
33900,OCUPACION VIA PUBLICA CON VALOS E ANDAMIOS,200000,0,200000,374548.01
33903,OUTRAS TASAS.CONCESIÓNS DE USO PÚBLICO MUNICIPAL,135000,0,135000,158650.82
34100,AXUDA A DOMICILIO,277329,0,277329,199769.29
34200,SERVIZO DE COMEDORES ESCOLARES,784142.08,0,784142.08,0
34201,SERVIZO DE ESCOLAS INFANTÍS DE XESTIÓN MUNICIPAL,222000,0,222000,0
34202,SERVIZO DA ESCOLA MUNICIPAL DE MÚSICA,204000,0,204000,0
34300,INSTALACIONS DEPORTIVAS,1500,0,1500,85.5
34901,PUBLICACIÓNS E ACTIVIDADES,135000,0,135000,128863.26
35100,CONTRIBUCIÓNS ESPECIAIS.ESTABLEC.OU AMPLIAC.DE SERVIZOS,324152.38,0,324152.38,324152.38
38900,REINTEGRO DE PRESUPOSTOS PECHADOS,0,0,0,25263.34
38901,REINTEGRO DOS ANUNCIOS POR CONTA DE PARTICULARES,6000,0,6000,4949.59
39110,MULTAS TRIBUTARIAS,145000,0,145000,195959.96
39120,SANCIÓNS DE TRÁFICO,2250000,0,2250000,2593447.45
39190,MULTAS MEDIO AMBIENTE (CONCEPTO XENÉRICO),150000,0,150000,166150.28
39191,MULTAS COERCITIVAS,70000,0,70000,148396.32
39192,SANCIÓNS PREVENCIÓN CONSUMO BEBIDAS ALCOHÓLICAS,17000,0,17000,44279.08
39200,RECARGO POR DECLARACIÓN EXTEMPORÁNEA,20000,0,20000,29519.4
39211,RECARGO DE PREMA,300000,0,300000,501681.9
39300,XUROS DE MORA,150000,0,150000,321219.94
39900,OUTROS INGRESOS DERIVADOS DA XESTIÓN DE MULTAS,120000,0,120000,93209.74
39901,INGRESOS POR DANOS BENS MUNICIPAIS.SINISTROS,60000,0,60000,32818.56
39902,ACTUACIÓNS POR EXECUCIONS SUBSIDIARIAS. EXSUB,100000,0,100000,15233.61
