#Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
10000,IMPOSTO SOBRE A RENDA DE PERSOAS FISICAS,2239415.64,,,
11200,IMPOSTO SOBRE BENS INMOBLES DE NATUREZA RUSTICA,970000,,,
11300,IMPTO SOBRE BENS INMOBLES NATUREZA URBANA,27750000,,,
11400,IMPOSTO SOBRE BENS INMOBLES DE CARACTERISTICAS ESPECIAIS,900000,,,
11500,IMPOSTO SOBRE VEHICULOS TRACCION MECANICA,4875000,,,
11600,IMPOSTO SOBRE O INCREMENTO DO VALOR DOS TERREOS,2200000,,,
13000,IMPOSTO SOBRE ACTIVIDADES ECONOMICAS EMPRESARIAIS,2900000,,,
13001,IMPOSTO SOBRE ACTIVIDADES PROFESIONAIS E ARTISTICAS,30000,,,
21000,IVE ENGADIDO,1466342.16,,,
22000,IMPOSTO ESPACIAL SOBRE O ALCOHOL,21382.52,,,
22001,IMPOSTO ESPECIAL SOBRE A CERVEXA.,6857.67,,,
22003,IMPOSTO ESPECIAL SOBRE O TABACO.,236549.52,,,
22004,IMPOSTO ESPECIAL SOBRE HIDROCARBUROS.,428607.31,,,
22006,IMPOSTO ESPECIAL SOBRE PRODUCTOS INTERMEDIOS.,540.27,,,
29000,"IMPOSTO SOBRE CONSTRUCCIONS, INSTALACIONS E OBRAS",1370000,,,
30200,RECOLLIDA DE LIXOS,6300000,,,
30300,INGRESOS DA XESTION DE RESIDUOS,300000,,,
30900,EXTINCION DE INCENDIOS E SALVAMENTO,55000,,,
30904,CEMITERIOS,22000,,,
32100,LICENCIAS URBANISTICAS,2000000,,,
32101,LICENCIAS APERTURA ESTABLECEMENTOS,170000,,,
32500,EXPEDICION DE DOCUMENTOS,110000,,,
32900,LICENCIAS AUTOTAXIS E VEHICULOS DE ALUGUER,15000,,,
32901,PREMIO COBRANZA.DEPUTACION PROVINCIAL,20580.58,,,
32904,MATRIMONIOS,10000,,,
33100,OCUPACION VIA PÚBLICA CON VADOS,200000,,,
33200,"OCUPACIÓN DO SOLO,SUBSOLO E SAÍNTES",1500000,,,
33500,OCUPACIÓN VÍA PÚBLICA CON MESAS E CADEIRAS,185000,,,
33600,VENDA AMBULANTE,46000,,,
33800,INGRESOS DE TELEFÓNICA,240000,,,
33900,OCUPACION VIA PUBLICA CON VALOS E ANDAMIOS,200000,,,
33901,O.TASAS UTILIZACIÓN PRIVATIVA DO DOMINIO PUBLICO.MARQUESINAS,200000,,,
33903,OUTRAS TASAS.CONCESIÓNS DE USO PÚBLICO MUNICIPAL,190000,,,
34100,AXUDA A DOMICILIO,210529.8,,,
34300,INSTALACIONS DEPORTIVAS,1500,,,
34400,INGRESOS DE TAQUILLAS,2899.95,,,
34901,PUBLICACIÓNS E ACTIVIDADES,130000,,,
35100,CONTRIBUCIÓNS ESPECIAIS.ESTABLEC.OU AMPLIAC.DE SERVIZOS,311085.72,,,
38901,REINTEGRO DOS ANUNCIOS POR CONTA DE PARTICULARES,6000,,,
39100,MULTAS POR INFRACCIONES URBANÍSTICAS.,19000,,,
39110,MULTAS TRIBUTARIAS,145000,,,
39120,SANCIÓNS DE TRÁFICO,2250000,,,
39190,MULTAS MEDIO AMBIENTE (CONCEPTO XENÉRICO),105000,,,
39191,MULTAS COERCITIVAS,60000,,,
39192,SANCIÓNS PREVENCIÓN CONSUMO BEBIDAS ALCOHÓLICAS,17000,,,
39200,RECARGO POR DECLARACIÓN EXTEMPORÁNEA,20000,,,
39211,RECARGO DE PREMA,250000,,,
39300,XUROS DE MORA,350000,,,
39900,OUTROS INGRESOS DERIVADOS DA XESTIÓN DE MULTAS,84000,,,
39901,INGRESOS POR DANOS BENS MUNICIPAIS.SINISTROS,60000,,,
39902,ACTUACIÓNS POR EXECUCIONS SUBSIDIARIAS. EXSUB,557301.42,,,
39903,OUTROS INGRESOS DIVERSOS,20000,,,
39904,SUMINISTROS A EDIFICIOS PÚBLICOS,80000,,,
39906,OUTROS INGRESOS DE CONDENAS EN PROCEDEMENTOS XUDICIAIS,21000,,,
39910,COSTAS,1000,,,
39991,OUTROS INGRESOS DIVERSOS,20000,,,
42010,PARTICIPACIÓN TRIBUTOS.FONDO COMPLEMENTARIO DE FINANCIACIÓN.,16327027.24,,,
42021,COMPENSACIÓN IAE,2789128.43,,,
42091,SUBVENCIONS DO ESTADO PARA O PACTO LOCAL POLO EMPREGO (FSE),280000,,,
42092,SUBVENCIONS CORRENTES DO ESTADO. UMAD,40000,,,
42098,SUBVENCIONS DO ESTADO. SUBVENCION DO TRANSPORTE,369000,,,
45000,PARTICIPACIÓN TRIBUTOS CCAA.FONDO GALEGO COOPERACIÓN LOCAL,3683154.51,,,
45001,OUTRAS TRANSFERENCIAS INCONDICIONADAS.ESTATUTO CAPITALIDADE,2325000,,,
45020,TRANSFERENCIAS CCAA. SERVIZOS SOCIAIS,983050,,,
45021,TRANSFERENCIAS CCAA. UMAD TRATAMENTO,532531.71,,,
45023,TRANSFERENCIAS  CCAA MULLER,60000,,,
45030,TRANS CTES EN CUMPL DE CONV SUS CON C.A EN MAT DE EDUCACIÓN,115100,,,
45050,TRANS.CTES CUMPL CONV SUS CON CCAA MAT EMPREGO E DESEN LOCAL,1084154.94,,,
46100,TRANSFERENCIAS DEPUTACIÓN PROVINCIAL POS,351540.3,,,
46101,TRANSFERENCIAS DEPUTACIÓN CSC,194000,,,
46102,OUTRAS SUBVENCIONS  DA DEPUTACION. EDUCACIÓN,220000,,,
46103,TRANSFERENCIAS CORRENTE. DEPUTACION CSC DO RURAIS.,140000,,,
46106,TRANSFERENCIAS DEPUTACIÓN NORMALIZACIÓN,12000,,,
46700,SUBVENCIONS CORRENTES.CONSORCIO DA CIDADE.FOGOS APOSTOLO,220000,,,
49101,SUBVENCIÓN CORRENTES DO EXTERIOR FEDER. EDUSI,453920,,,
49700,OUTRAS TRANSFERENCIAS DA UNION EUROPEA.,63450,,,
52000,XUROS DE DEPOSITOS,5000,,,
54100,"ARRENDAMENTO INMOBLE RUA DO MEDIO,65.EMUVISSA",15079.2,,,
55000,CONCESIONS E APROVEITAMENTOS ESPECIAIS,300000,,,
55001,CANON CONTRATO CONCESIÓN SERVIZOS ORA E GRÚA,100000,,,
55002,CANON NOVAS INSTALACIÓNS DEPORTIVAS,15000,,,
60300,INGRESOS DERIVADOS DO PATRIMONIO PUBLICO DO SOLO,930906.08,,,
75060,OTRAS SUBVENCIÓNS DA CCAA.CONVENIOS SUBSCRITOS,48737.5,,,
76100,TRANSFERENCIAS DA DIPUTACIÓN PROVINCIAL POS,852000,,,
76102,SUBVENCION DA DEPUTACION PROVINCIAL PARA PATRIMONIO,250000,,,
77000,TRANSFERENCIAS DE CAPITAL. DE EMPRESAS PRIVADAS,386703.9,,,
78000,TRANSFERENCIAS DE CAPITAL DE FAMILIAS E ISFL,763000,,,
