#Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos,,,,
10000,IMPOSTO SOBRE A RENDA DE PERSOAS FISICAS,2673650.37,,,,,,,
11200,IMPOSTO SOBRE BENS INMOBLES DE NATUREZA RUSTICA,1225000,,,,,,,
11300,IMPTO SOBRE BENS INMOBLES NATUREZA URBANA,32660000,,,,,,,
11400,IMPOSTO SOBRE BENS INMOBLES DE CARACTERISTICAS ESPECIAIS,900000,,,,,,,
11500,IMPOSTO SOBRE VEHICULOS TRACCION MECANICA,4910000,,,,,,,
11600,IMPOSTO SOBRE O INCREMENTO DO VALOR DOS TERREOS,3200000,,,,,,,
13000,IMPOSTO SOBRE ACTIVIDADES ECONOMICAS EMPRESARIAIS,2950000,,,,,,,
13001,IMPOSTO SOBRE ACTIVIDADES PROFESIONAIS E ARTISTICAS,25000,,,,,,,
21000,IVE ENGADIDO,1830398.4,,,,,,,
22000,IMPOSTO ESPACIAL SOBRE O ALCOHOL,23222.53,,,,,,,
22001,IMPOSTO ESPECIAL SOBRE A CERVEXA.,7964.57,,,,,,,
22003,IMPOSTO ESPECIAL SOBRE O TABACO.,175792.52,,,,,,,
22004,IMPOSTO ESPECIAL SOBRE HIDROCARBUROS.,320057.24,,,,,,,
22006,IMPOSTO ESPECIAL SOBRE PRODUCTOS INTERMEDIOS.,762.52,,,,,,,
29000,"IMPOSTO SOBRE CONSTRUCCIONS, INSTALACIONS E OBRAS",1970000,,,,,,,
30200,RECOLLIDA DE LIXOS,6610000,,,,,,,
30300,INGRESOS DA XESTION DE RESIDUOS,330000,,,,,,,
30900,EXTINCION DE INCENDIOS E SALVAMENTO,15000,,,,,,,
30904,CEMITERIOS,25000,,,,,,,
32100,LICENCIAS URBANISTICAS,2650000,,,,,,,
32101,LICENCIAS APERTURA ESTABLECEMENTOS,190000,,,,,,,
32500,EXPEDICION DE DOCUMENTOS,140000,,,,,,,
32600,TAXA POR RETIRADA VEHÍCULOS. GRÚA,286005,,,,,,,
32900,LICENCIAS AUTOTAXIS E VEHICULOS DE ALUGUER,10000,,,,,,,
32901,PREMIO COBRANZA.DEPUTACION PROVINCIAL,22000,,,,,,,
32904,MATRIMONIOS,10000,,,,,,,
33000,GRUA E ORA,1368643.35,,,,,,,
33100,OCUPACION VIA PÚBLICA CON VADOS,250000,,,,,,,
33200,"OCUPACIÓN DO SOLO,SUBSOLO E SAÍNTES",1200000,,,,,,,
33500,OCUPACIÓN VÍA PÚBLICA CON MESAS E CADEIRAS,270000,,,,,,,
33600,VENDA AMBULANTE,27000,,,,,,,
33800,INGRESOS DE TELEFÓNICA,310000,,,,,,,
33900,OCUPACION VIA PUBLICA CON VALOS E ANDAMIOS,325000,,,,,,,
33903,OUTRAS TASAS.CONCESIÓNS DE USO PÚBLICO MUNICIPAL,108000,,,,,,,
34100,AXUDA A DOMICILIO,310000,,,,,,,
34200,SERVIZO DE COMEDORES ESCOLARES,804361.02,,,,,,,
34201,SERVIZO DE ESCOLAS INFANTÍS DE XESTIÓN MUNICIPAL,167816.23,,,,,,,
34202,SERVIZO DA ESCOLA MUNICIPAL DE MÚSICA,75546.58,,,,,,,
34901,PUBLICACIÓNS E ACTIVIDADES,137000,,,,,,,
35100,CONTRIBUCIÓNS ESPECIAIS.ESTABLEC.OU AMPLIAC.DE SERVIZOS,410432.7,,,,,,,
38901,REINTEGRO DOS ANUNCIOS POR CONTA DE PARTICULARES,6800,,,,,,,
39110,MULTAS TRIBUTARIAS,225000,,,,,,,
39120,SANCIÓNS DE TRÁFICO,2400000,,,,,,,
39190,MULTAS MEDIO AMBIENTE (CONCEPTO XENÉRICO),75000,,,,,,,
39191,MULTAS COERCITIVAS,40000,,,,,,,
39192,SANCIÓNS PREVENCIÓN CONSUMO BEBIDAS ALCOHÓLICAS,38000,,,,,,,
39200,RECARGO POR DECLARACIÓN EXTEMPORÁNEA,20000,,,,,,,
39211,RECARGO DE PREMA,350000,,,,,,,
39300,XUROS DE MORA,250000,,,,,,,
39900,OUTROS INGRESOS DERIVADOS DA XESTIÓN DE MULTAS,125000,,,,,,,
39901,INGRESOS POR DANOS BENS MUNICIPAIS.SINISTROS,48000,,,,,,,
39902,ACTUACIÓNS POR EXECUCIONS SUBSIDIARIAS. EXSUB,10000,,,,,,,
39903,OUTROS INGRESOS DIVERSOS,50000,,,,,,,
39906,OUTROS INGRESOS DE CONDENAS EN PROCEDEMENTOS XUDICIAIS,18000,,,,,,,
39909,OUTROS INGRESOS DIVERSOS.CONVENIOS FINANC ACTIVID DE FESTAS,18000,,,,,,,
39910,COSTAS,1000,,,,,,,
39991,OUTROS INGRESOS DIVERSOS,40000,,,,,,,
42010,PARTICIPACIÓN TRIBUTOS.FONDO COMPLEMENTARIO DE FINANCIACIÓN.,17778487.55,,,,,,,
42021,COMPENSACIÓN IAE,3032833.69,,,,,,,
42090,OTRAS TRANSF CORRIENTES DE LA ADMÓN GENERAL DEL ESTADO.,15491.47,,,,,,,
42098,SUBVENCIONS DO ESTADO. SUBVENCION DO TRANSPORTE,438408,,,,,,,
45000,PARTICIPACIÓN TRIBUTOS CCAA.FONDO GALEGO COOPERACIÓN LOCAL,3727671.58,,,,,,,
45001,OUTRAS TRANSFERENCIAS INCONDICIONADAS.ESTATUTO CAPITALIDADE,2392425,,,,,,,
45020,TRANSFERENCIAS CCAA. SERVIZOS SOCIAIS,1831750.13,,,,,,,
45021,TRANSFERENCIAS CCAA. UMAD TRATAMENTO,532531.71,,,,,,,
45022,TRANSFERENCIAS CCAA.UMAD PREVENCION,57813.33,,,,,,,
45023,TRANSFERENCIAS  CCAA MULLER,42461.13,,,,,,,
45030,TRANS CTES EN CUMPL DE CONV SUS CON C.A EN MAT DE EDUCACIÓN,159813,,,,,,,
45050,TRANS.CTES CUMPL CONV SUS CON CCAA MAT EMPREGO E DESEN LOCAL,669350.11,,,,,,,
45101,TRANSFERENCIAS CORRENTES.ORGANISMO AUTONOMO,181809.83,,,,,,,
46100,TRANSFERENCIAS DEPUTACIÓN PROVINCIAL POS,351735.07,,,,,,,
46101,TRANSFERENCIAS DEPUTACIÓN CSC,144000,,,,,,,
46102,OUTRAS SUBVENCIONS  DA DEPUTACION. EDUCACIÓN,93432.97,,,,,,,
46103,TRANSFERENCIAS CORRENTE. DEPUTACION CSC DO RURAIS.,140000,,,,,,,
46700,SUBVENCIONS CORRENTES.CONSORCIO DA CIDADE.FOGOS APOSTOLO,260000,,,,,,,
49100,SUBVENCIÓNS CORRENTES DO EXTERIOR.FONDOS FEDER.,67330.71,,,,,,,
49101,SUBVENCIÓN CORRENTES DO EXTERIOR FEDER. EDUSI,366078.27,,,,,,,
49700,OUTRAS TRANSFERENCIAS DA UNION EUROPEA.,1400,,,,,,,
54100,"ARRENDAMENTO INMOBLE RUA DO MEDIO,65.EMUVISSA",15079.2,,,,,,,
55000,CONCESIONS E APROVEITAMENTOS ESPECIAIS,330000,,,,,,,
55002,CANON NOVAS INSTALACIÓNS DEPORTIVAS,18000,,,,,,,
60300,INGRESOS DERIVADOS DO PATRIMONIO PUBLICO DO SOLO,5263628.88,,,,,,,
75103,DE ORGANISMOS AUTÓNOMOS E AXENCIAS DAS CC.AA.,210000,,,,,,,
76100,TRANSFERENCIAS DA DIPUTACIÓN PROVINCIAL POS,1158132.56,,,,,,,
79101,OUTRAS TRANSFERENCIAS DA U.E. FEDER.EDUSI,2448081.96,,,,,,,
83000,REINTEGRO DE ANTICIPOS O PERSOAL,65000,,,,,,,
91100,PRÉSTAMOS RECIBIDOS A L/P DE ENTES DO SECTOR PÚBLICO.,1344396.15,,,,,,,
91301,PRÉSTAM RECIBIDOS A L/P DE ENTES DE FORA DO SECTOR PÚBLICO,1200000,,,,,,,
