#Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
10000,IMPOSTO SOBRE A RENDA DE PERSOAS FISICAS,2673650.37,0,2673650.37,2962599.31
11200,IMPOSTO SOBRE BENS INMOBLES DE NATUREZA RUSTICA,1225000,0,1225000,1226015.96
11300,IMPTO SOBRE BENS INMOBLES NATUREZA URBANA,32660000,0,32660000,32569697.32
11400,IMPOSTO SOBRE BENS INMOBLES DE CARACTERISTICAS ESPECIAIS,900000,0,900000,899159.1
11500,IMPOSTO SOBRE VEHICULOS TRACCION MECANICA,4910000,0,4910000,4861241.15
11600,IMPOSTO SOBRE O INCREMENTO DO VALOR DOS TERREOS,3200000,0,3200000,2407742.93
13000,IMPOSTO SOBRE ACTIVIDADES ECONOMICAS EMPRESARIAIS,2950000,0,2950000,2644249.31
13001,IMPOSTO SOBRE ACTIVIDADES PROFESIONAIS E ARTISTICAS,25000,0,25000,25054.17
21000,IVE ENGADIDO,1830398.4,0,1830398.4,1673328.7
22000,IMPOSTO ESPACIAL SOBRE O ALCOHOL,23222.53,0,23222.53,20462.31
22001,IMPOSTO ESPECIAL SOBRE A CERVEXA.,7964.57,0,7964.57,8818.73
22003,IMPOSTO ESPECIAL SOBRE O TABACO.,175792.52,0,175792.52,118488.11
22004,IMPOSTO ESPECIAL SOBRE HIDROCARBUROS.,320057.24,0,320057.24,307076.84
22006,IMPOSTO ESPECIAL SOBRE PRODUCTOS INTERMEDIOS.,762.52,0,762.52,498.36
29000,"IMPOSTO SOBRE CONSTRUCCIONS, INSTALACIONS E OBRAS",1970000,0,1970000,572057.49
30200,RECOLLIDA DE LIXOS,6610000,0,6610000,6227023.76
30300,INGRESOS DA XESTION DE RESIDUOS,330000,0,330000,447896.03
30900,EXTINCION DE INCENDIOS E SALVAMENTO,15000,0,15000,-560.51
30904,CEMITERIOS,25000,0,25000,22904.78
32100,LICENCIAS URBANISTICAS,2650000,0,2650000,1951679.43
32101,LICENCIAS APERTURA ESTABLECEMENTOS,190000,0,190000,111138.02
32500,EXPEDICION DE DOCUMENTOS,140000,0,140000,129223.83
32600,TAXA POR RETIRADA VEHÍCULOS. GRÚA,286005,0,286005,140775.05
32900,LICENCIAS AUTOTAXIS E VEHICULOS DE ALUGUER,10000,0,10000,6759.3
32901,PREMIO COBRANZA.DEPUTACION PROVINCIAL,22000,0,22000,20866.06
32904,MATRIMONIOS,10000,0,10000,6077.5
33000,GRUA E ORA,1368643.35,0,1368643.35,1002290.23
